affiliate_fct_normdata_id,affiliate_fct_normdata,affiliate_fct_id,affiliate_fct,affiliate_fct_occurrence,affiliate_fct
82386,http://d-nb.info/gnd/177322624,7819,"Staats- und Universitätsbibliothek Hamburg",30,"Staats- und Universitätsbibliothek Hamburg"
82386,http://d-nb.info/gnd/177322624,163986,"Sauter, Guido",30,"Sauter, Guido"
7920,http://d-nb.info/gnd/137666683,7819,"Staats- und Universitätsbibliothek Hamburg",23,"Staats- und Universitätsbibliothek Hamburg"
7920,http://d-nb.info/gnd/137666683,21850,"Püschel, Klaus",23,"Püschel, Klaus"
128878,http://d-nb.info/gnd/177377887,7819,"Staats- und Universitätsbibliothek Hamburg",13,"Staats- und Universitätsbibliothek Hamburg"
128878,http://d-nb.info/gnd/177377887,182859,"Schumacher, Udo",13,"Schumacher, Udo"
35640,http://d-nb.info/gnd/1020401613,7819,"Staats- und Universitätsbibliothek Hamburg",11,"Staats- und Universitätsbibliothek Hamburg"
35640,http://d-nb.info/gnd/1020401613,96974,"Meier, Chris",11,"Meier, Chris"
57952,http://d-nb.info/gnd/114781672,7819,"Staats- und Universitätsbibliothek Hamburg",10,"Staats- und Universitätsbibliothek Hamburg"
57952,http://d-nb.info/gnd/114781672,159062,"Amling, Michael",10,"Amling, Michael"
15871,http://d-nb.info/gnd/179354531,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
15871,http://d-nb.info/gnd/179354531,43080,"Rarey, Matthias",9,"Rarey, Matthias"
25915,http://d-nb.info/gnd/112702473,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
25915,http://d-nb.info/gnd/112702473,67250,"Dobner, Thomas",9,"Dobner, Thomas"
44892,http://d-nb.info/gnd/11364759X,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
44892,http://d-nb.info/gnd/11364759X,122019,"Heesen, Christoph",9,"Heesen, Christoph"
46515,http://d-nb.info/gnd/175446512,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
46515,http://d-nb.info/gnd/175446512,126563,"Eschenhagen, Thomas",9,"Eschenhagen, Thomas"
59695,http://d-nb.info/gnd/1020696729,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
59695,http://d-nb.info/gnd/1020696729,163986,"Sauter, Guido",9,"Sauter, Guido"
72682,http://d-nb.info/gnd/139460470,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
72682,http://d-nb.info/gnd/139460470,200648,"Glatzel, Markus",9,"Glatzel, Markus"
84210,http://d-nb.info/gnd/109201949,7819,"Staats- und Universitätsbibliothek Hamburg",9,"Staats- und Universitätsbibliothek Hamburg"
84210,http://d-nb.info/gnd/109201949,233171,"Fleischer, Bernhard",9,"Fleischer, Bernhard"
24701,http://d-nb.info/gnd/1020784040,7819,"Staats- und Universitätsbibliothek Hamburg",8,"Staats- und Universitätsbibliothek Hamburg"
24701,http://d-nb.info/gnd/1020784040,67250,"Dobner, Thomas",8,"Dobner, Thomas"
42046,http://d-nb.info/gnd/182861910,7819,"Staats- und Universitätsbibliothek Hamburg",8,"Staats- und Universitätsbibliothek Hamburg"
42046,http://d-nb.info/gnd/182861910,114095,"Heeren, Jörg",8,"Heeren, Jörg"
179773,http://d-nb.info/gnd/111378486,7819,"Staats- und Universitätsbibliothek Hamburg",8,"Staats- und Universitätsbibliothek Hamburg"
179773,http://d-nb.info/gnd/111378486,513339,"Betzel, Christian",8,"Betzel, Christian"
33641,http://d-nb.info/gnd/108283984,7819,"Staats- und Universitätsbibliothek Hamburg",7,"Staats- und Universitätsbibliothek Hamburg"
33641,http://d-nb.info/gnd/108283984,91531,"Weller, Horst",7,"Weller, Horst"
58505,http://d-nb.info/gnd/1020484195,7819,"Staats- und Universitätsbibliothek Hamburg",7,"Staats- und Universitätsbibliothek Hamburg"
58505,http://d-nb.info/gnd/1020484195,160599,"Schachner, Melitta",7,"Schachner, Melitta"
61159,http://d-nb.info/gnd/111606853,7819,"Staats- und Universitätsbibliothek Hamburg",7,"Staats- und Universitätsbibliothek Hamburg"
61159,http://d-nb.info/gnd/111606853,168218,"Heisig, Peter",7,"Heisig, Peter"
75582,http://d-nb.info/gnd/12037045X,7819,"Staats- und Universitätsbibliothek Hamburg",7,"Staats- und Universitätsbibliothek Hamburg"
75582,http://d-nb.info/gnd/12037045X,208853,"Hahn, Ulrich",7,"Hahn, Ulrich"
91367,http://d-nb.info/gnd/108181790,7819,"Staats- und Universitätsbibliothek Hamburg",7,"Staats- und Universitätsbibliothek Hamburg"
91367,http://d-nb.info/gnd/108181790,253596,"Deppert, Wolfgang",7,"Deppert, Wolfgang"
169986,http://d-nb.info/gnd/113712685,7819,"Staats- und Universitätsbibliothek Hamburg",7,"Staats- und Universitätsbibliothek Hamburg"
169986,http://d-nb.info/gnd/113712685,483570,"Dahm-Daphi, Jochen",7,"Dahm-Daphi, Jochen"
