affiliate_fct_normdata_id,affiliate_fct_normdata,affiliate_fct_id,affiliate_fct,affiliate_fct_occurrence,affiliate_fct
2773,http://d-nb.info/gnd/1024404072,7819,"Staats- und Universitätsbibliothek Hamburg",1213,"Staats- und Universitätsbibliothek Hamburg"
59694,http://d-nb.info/gnd/1020444568,163986,"Sauter, Guido",39,"Sauter, Guido"
7919,http://d-nb.info/gnd/1024802736,21850,"Püschel, Klaus",23,"Püschel, Klaus"
24700,http://d-nb.info/gnd/1020483350,67250,"Dobner, Thomas",17,"Dobner, Thomas"
128877,http://d-nb.info/gnd/1027609929,182859,"Schumacher, Udo",13,"Schumacher, Udo"
35639,http://d-nb.info/gnd/1020444479,96974,"Meier, Chris",11,"Meier, Chris"
57951,http://d-nb.info/gnd/1030408408,159062,"Amling, Michael",10,"Amling, Michael"
15870,http://d-nb.info/gnd/1020443901,43080,"Rarey, Matthias",9,"Rarey, Matthias"
44891,http://d-nb.info/gnd/1030408874,122019,"Heesen, Christoph",9,"Heesen, Christoph"
46514,http://d-nb.info/gnd/1045068748,126563,"Eschenhagen, Thomas",9,"Eschenhagen, Thomas"
72681,http://d-nb.info/gnd/1024403912,200648,"Glatzel, Markus",9,"Glatzel, Markus"
84209,http://d-nb.info/gnd/1024404021,233171,"Fleischer, Bernhard",9,"Fleischer, Bernhard"
42045,http://d-nb.info/gnd/1022236474,114095,"Heeren, Jörg",8,"Heeren, Jörg"
179772,http://d-nb.info/gnd/1031317147,513339,"Betzel, Christian",8,"Betzel, Christian"
33640,http://d-nb.info/gnd/103040853X,91531,"Weller, Horst",7,"Weller, Horst"
58504,http://d-nb.info/gnd/1045775126,160599,"Schachner, Melitta",7,"Schachner, Melitta"
61158,http://d-nb.info/gnd/1024404064,168218,"Heisig, Peter",7,"Heisig, Peter"
75581,http://d-nb.info/gnd/1021028274,208853,"Hahn, Ulrich",7,"Hahn, Ulrich"
91366,http://d-nb.info/gnd/1028567049,253596,"Deppert, Wolfgang",7,"Deppert, Wolfgang"
169985,http://d-nb.info/gnd/1046485644,483570,"Dahm-Daphi, Jochen",7,"Dahm-Daphi, Jochen"
