"timeId","keywordId","count"
1,4,69008
1,10,46309
1,66,33387
1,1,21363
1,30,20110
1,2,19938
1,36,16712
1,24,15889
1,14,14519
1,58,13169
1,52,12993
1,186,12753
1,12,12230
1,262,11920
1,201,10415
1,179,9898
1,82,9236
1,184,8648
1,9,8019
1,51,7637
1,72,7317
1,172,6696
1,50,6679
1,22,6247
1,15,6163
1,178,5719
1,157,5712
1,530,5698
1,239,5600
1,27,5511
1,21,5393
1,529,5293
1,185,5069
1,391,4807
1,6,4707
1,23,4651
1,188,4248
1,174,4175
1,28,3586
1,169,3423
1,170,3226
1,962,3154
1,132,3111
1,327,3098
1,974,2731
1,1277,2712
1,187,2643
1,111,2568
1,1528,2458
1,59,2389
1,1044,2318
1,263,2303
1,264,2188
1,105,2135
1,145,2115
1,415,2086
1,1174,2056
1,568,2054
1,196,2035
1,203,1914
1,3462,1866
1,1834,1805
1,312,1802
1,586,1630
1,905,1604
1,115,1523
1,390,1464
1,168,1447
1,2640,1446
1,1482,1444
1,80,1433
1,1542,1337
1,1565,1332
1,236,1325
1,35,1310
1,1470,1270
1,130,1257
1,152,1249
1,215,1190
1,1414,1183
1,126,1175
1,95,1169
1,859,1135
1,175,1134
1,94,1126
1,1212,1107
1,3133,1089
1,1028,1083
1,2349,1043
1,806,1029
1,606,1029
1,319,1019
1,585,1010
1,1283,992
1,2257,977
1,8,946
1,439,937
1,441,937
1,440,936
1,830,923
2,4,15414
2,10,10976
2,66,7864
2,262,7381
2,186,7256
2,58,6766
2,12,6148
2,201,5095
2,24,4088
2,184,3648
2,72,3605
2,14,3415
2,36,3131
2,22,3074
2,9,3009
2,530,2719
2,1,2645
2,82,2632
2,30,2576
2,529,2508
2,157,2465
2,179,2348
2,188,2242
2,169,2069
2,1277,2064
2,172,2031
2,2,1978
2,185,1958
2,170,1876
2,3462,1863
2,203,1861
2,239,1693
2,15,1692
2,962,1596
2,21,1448
2,974,1443
2,59,1441
2,174,1425
2,51,1369
2,196,1311
2,23,1296
2,263,1162
2,111,1132
2,264,1117
2,50,1112
2,132,1005
2,27,1001
2,145,1000
2,6,990
2,1174,966
2,80,964
2,2640,949
2,115,901
2,1470,849
2,178,814
2,391,785
2,1542,783
2,1834,771
2,168,760
2,586,759
2,1212,748
2,152,725
2,415,723
2,1044,722
2,327,706
2,187,688
2,1528,679
2,1482,679
2,221,654
2,28,640
2,315,615
2,312,578
2,175,548
2,1414,533
2,215,506
2,2063,498
2,905,494
2,253,490
2,319,457
2,585,456
2,314,452
2,1028,443
2,1620,438
2,1039,438
2,18,437
2,35,427
2,105,423
2,52,423
2,568,412
2,94,400
2,363,398
2,439,393
2,440,393
2,441,393
2,235,387
2,126,386
2,779,384
2,1460,384
2,830,381
2,5100,375
3,4,39815
3,10,23440
3,1,16927
3,2,15775
3,66,14567
3,52,11823
3,36,8802
3,9,7314
3,24,6615
3,14,4823
3,82,4715
3,178,3297
3,179,3164
3,51,2964
3,157,2773
3,172,2756
3,174,2656
3,15,2509
3,30,2503
3,50,2453
3,6,2307
3,391,2162
3,27,1995
3,327,1864
3,239,1812
3,23,1730
3,21,1543
3,132,1389
3,28,1379
3,390,1300
3,236,1173
3,1528,1076
3,35,1005
3,1565,954
3,415,927
3,568,891
3,312,872
3,905,771
3,187,686
3,111,670
3,606,654
3,8,648
3,105,632
3,151,620
3,145,595
3,16,491
3,1370,478
3,126,474
3,2698,460
3,624,459
3,859,457
3,627,455
3,366,450
3,479,412
3,1027,401
3,184,377
3,949,355
3,153,349
3,211,349
3,437,346
3,238,342
3,412,333
3,148,331
3,413,306
3,1277,299
3,2257,298
3,663,297
3,1800,296
3,1283,289
3,582,284
3,94,277
3,107,277
3,761,276
3,96,271
3,452,263
3,108,262
3,806,261
3,4272,257
3,598,257
3,712,255
3,73,243
3,1677,242
3,296,235
3,883,233
3,377,231
3,2794,227
3,910,224
3,626,211
3,1987,210
3,587,209
3,1444,208
3,417,208
3,2936,207
3,521,201
3,93,196
3,447,195
3,421,187
3,1730,186
3,1219,186
3,3130,183
4,4,736979
4,11,308535
4,2,214032
4,1,197995
4,9,159915
4,72,63582
4,17,53957
4,10,47026
4,155,40222
4,24,36464
4,66,33666
4,21,31875
4,166,31302
4,82,25238
4,192,23494
4,31,22909
4,19,22336
4,30,22162
4,38,18648
4,133,17383
4,3,17188
4,146,15615
4,132,14794
4,52,14016
4,60,12433
4,328,12308
4,27,11916
4,51,11731
4,67,11105
4,91,10866
4,50,10505
4,28,10408
4,77,9737
4,157,9544
4,36,8914
4,236,8690
4,102,8437
4,635,8371
4,15,7995
4,90,7939
4,178,7892
4,45,7147
4,450,6988
4,68,6959
4,391,6422
4,386,6397
4,323,6307
4,14,6013
4,204,5728
4,523,5030
4,179,4985
4,380,4699
4,390,4562
4,23,4503
4,283,4482
4,6,4339
4,172,3865
4,422,3584
4,98,3535
4,480,3417
4,1368,3273
4,174,3226
4,40,3208
4,46,3197
4,605,3091
4,415,3040
4,980,2868
4,1482,2785
4,184,2783
4,851,2774
4,414,2751
4,115,2708
4,1167,2642
4,417,2581
4,2794,2529
4,35,2466
4,315,2436
4,239,2424
4,126,2388
4,230,2383
4,583,2376
4,1909,2339
4,377,2289
4,198,2263
4,1915,2229
4,1377,2202
4,476,2184
4,568,2169
4,575,2100
4,311,2041
4,1039,1878
4,606,1845
4,418,1716
4,932,1716
4,599,1659
4,1736,1618
4,925,1594
4,22,1544
4,424,1539
4,327,1524
5,4,21936
5,10,10903
5,9,9658
5,66,7449
5,82,6012
5,24,5609
5,1,4032
5,2,3839
5,36,3511
5,51,1882
5,30,1756
5,157,1680
5,50,1674
5,174,1570
5,391,1508
5,179,1328
5,172,1176
5,15,1163
5,67,1146
5,854,1124
5,855,1118
5,856,1118
5,857,1118
5,6,1103
5,606,1099
5,14,1006
5,21,1002
5,35,999
5,27,981
5,178,851
5,132,836
5,327,759
5,28,739
5,68,736
5,23,682
5,390,610
5,151,599
5,239,591
5,1565,559
5,3174,517
5,164,488
5,236,473
5,568,472
5,52,471
5,859,451
5,480,420
5,413,399
5,415,372
5,2794,370
5,148,370
5,1444,312
5,663,307
5,358,300
5,366,296
5,851,284
5,627,276
5,126,274
5,111,271
5,145,270
5,312,269
5,3753,261
5,422,257
5,211,255
