"sector_fct","name","time_id","count"
"sec_04","Paläozoikum","time_13000",1
"sec_04","Trias","time_14000",1
"sec_05","Trias","time_14000",6
"sec_04","Jura","time_15000",2
"sec_05","Jura","time_15000",1
"sec_04","Tertiär","time_17000",7
"sec_04","7. Jahrtausend vor Christus","time_33000",12
"sec_04","6. Jahrtausend vor Christus","time_34000",35
"sec_04","5. Jahrtausend vor Christus","time_35000",40
"sec_04","4. Jahrtausend vor Christus","time_36000",103
"sec_04","38. Jahrhundert vor Christus","time_36300",3
"sec_04","36. Jahrhundert vor Christus","time_36500",9
"sec_04","33. Jahrhundert vor Christus","time_36800",7
"sec_04","32. Jahrhundert vor Christus","time_36900",30
"sec_04","31. Jahrhundert vor Christus","time_36950",83
"sec_02","3. Jahrtausend vor Christus","time_37000",7
"sec_04","3. Jahrtausend vor Christus","time_37000",576
"sec_06","3. Jahrtausend vor Christus","time_37000",1
"sec_04","30. Jahrhundert vor Christus","time_37100",13
"sec_04","29. Jahrhundert vor Christus","time_37200",21
"sec_04","28. Jahrhundert vor Christus","time_37300",27
"sec_04","27. Jahrhundert vor Christus","time_37400",149
"sec_04","26. Jahrhundert vor Christus","time_37500",37
"sec_04","25. Jahrhundert vor Christus","time_37600",160
"sec_04","24. Jahrhundert vor Christus","time_37700",147
"sec_04","23. Jahrhundert vor Christus","time_37800",39
"sec_04","22. Jahrhundert vor Christus","time_37900",153
"sec_02","21. Jahrhundert vor Christus","time_37950",7
"sec_04","21. Jahrhundert vor Christus","time_37950",190
"sec_06","21. Jahrhundert vor Christus","time_37950",1
"sec_02","2. Jahrtausend vor Christus","time_38000",2
"sec_04","2. Jahrtausend vor Christus","time_38000",2120
"sec_05","2. Jahrtausend vor Christus","time_38000",1
"sec_07","2. Jahrtausend vor Christus","time_38000",12
"sec_02","20. Jahrhundert vor Christus","time_38100",1
"sec_04","20. Jahrhundert vor Christus","time_38100",205
"sec_02","19. Jahrhundert vor Christus","time_38200",2
"sec_04","19. Jahrhundert vor Christus","time_38200",76
"sec_02","18. Jahrhundert vor Christus","time_38300",1
"sec_04","18. Jahrhundert vor Christus","time_38300",299
"sec_02","17. Jahrhundert vor Christus","time_38400",1
"sec_04","17. Jahrhundert vor Christus","time_38400",144
"sec_02","16. Jahrhundert vor Christus","time_38500",1
"sec_04","16. Jahrhundert vor Christus","time_38500",826
"sec_05","16. Jahrhundert vor Christus","time_38500",1
"sec_02","15. Jahrhundert vor Christus","time_38600",1
"sec_04","15. Jahrhundert vor Christus","time_38600",193
"sec_02","14. Jahrhundert vor Christus","time_38700",1
"sec_04","14. Jahrhundert vor Christus","time_38700",204
"sec_07","14. Jahrhundert vor Christus","time_38700",12
"sec_02","13. Jahrhundert vor Christus","time_38800",1
"sec_04","13. Jahrhundert vor Christus","time_38800",830
"sec_02","12. Jahrhundert vor Christus","time_38900",1
"sec_04","12. Jahrhundert vor Christus","time_38900",408
"sec_02","11. Jahrhundert vor Christus","time_38950",1
"sec_04","11. Jahrhundert vor Christus","time_38950",446
"sec_02","1. Jahrtausend vor Christus","time_39000",14
"sec_04","1. Jahrtausend vor Christus","time_39000",6506
"sec_05","1. Jahrtausend vor Christus","time_39000",5
"sec_02","10. Jahrhundert vor Christus","time_39100",3
"sec_04","10. Jahrhundert vor Christus","time_39100",44
"sec_02","9. Jahrhundert vor Christus","time_39200",3
"sec_04","9. Jahrhundert vor Christus","time_39200",281
"sec_02","8. Jahrhundert vor Christus","time_39300",4
"sec_04","8. Jahrhundert vor Christus","time_39300",560
"sec_02","7. Jahrhundert vor Christus","time_39400",4
"sec_04","7. Jahrhundert vor Christus","time_39400",829
"sec_02","6. Jahrhundert vor Christus","time_39500",4
"sec_04","6. Jahrhundert vor Christus","time_39500",1977
"sec_02","5. Jahrhundert vor Christus","time_39600",5
"sec_04","5. Jahrhundert vor Christus","time_39600",1669
"sec_02","4. Jahrhundert vor Christus","time_39700",4
"sec_04","4. Jahrhundert vor Christus","time_39700",1511
"sec_02","3. Jahrhundert vor Christus","time_39800",6
"sec_04","3. Jahrhundert vor Christus","time_39800",638
"sec_02","2. Jahrhundert vor Christus","time_39900",6
"sec_04","2. Jahrhundert vor Christus","time_39900",671
"sec_02","1. Jahrhundert vor Christus","time_39950",6
"sec_04","1. Jahrhundert vor Christus","time_39950",1331
"sec_05","1. Jahrhundert vor Christus","time_39950",5
"sec_06","1. Jahrhundert vor Christus","time_39950",3
"sec_01","1. Jahrhundert","time_60100",708
"sec_02","1. Jahrhundert","time_60100",464
"sec_03","1. Jahrhundert","time_60100",163
"sec_04","1. Jahrhundert","time_60100",1591
"sec_05","1. Jahrhundert","time_60100",548
"sec_06","1. Jahrhundert","time_60100",1
"sec_01","2. Jahrhundert","time_60200",728
"sec_02","2. Jahrhundert","time_60200",466
"sec_03","2. Jahrhundert","time_60200",163
"sec_04","2. Jahrhundert","time_60200",1640
"sec_05","2. Jahrhundert","time_60200",420
"sec_06","2. Jahrhundert","time_60200",2
"sec_01","3. Jahrhundert","time_60300",721
"sec_02","3. Jahrhundert","time_60300",471
"sec_03","3. Jahrhundert","time_60300",163
"sec_04","3. Jahrhundert","time_60300",1144
"sec_05","3. Jahrhundert","time_60300",355
"sec_06","3. Jahrhundert","time_60300",1
"sec_01","4. Jahrhundert","time_60400",721
"sec_02","4. Jahrhundert","time_60400",470
"sec_03","4. Jahrhundert","time_60400",162
"sec_04","4. Jahrhundert","time_60400",1588
"sec_05","4. Jahrhundert","time_60400",376
"sec_01","5. Jahrhundert","time_60500",6537
"sec_02","5. Jahrhundert","time_60500",467
"sec_03","5. Jahrhundert","time_60500",162
"sec_04","5. Jahrhundert","time_60500",856
"sec_05","5. Jahrhundert","time_60500",418
"sec_01","6. Jahrhundert","time_60600",6538
"sec_02","6. Jahrhundert","time_60600",472
"sec_03","6. Jahrhundert","time_60600",162
"sec_04","6. Jahrhundert","time_60600",1003
"sec_05","6. Jahrhundert","time_60600",419
"sec_01","7. Jahrhundert","time_60700",6541
"sec_02","7. Jahrhundert","time_60700",485
"sec_03","7. Jahrhundert","time_60700",162
"sec_04","7. Jahrhundert","time_60700",746
"sec_05","7. Jahrhundert","time_60700",363
"sec_06","7. Jahrhundert","time_60700",1
"sec_07","7. Jahrhundert","time_60700",1
"sec_01","8. Jahrhundert","time_60800",6563
"sec_02","8. Jahrhundert","time_60800",520
"sec_03","8. Jahrhundert","time_60800",162
"sec_04","8. Jahrhundert","time_60800",918
"sec_05","8. Jahrhundert","time_60800",328
"sec_06","8. Jahrhundert","time_60800",1
"sec_07","8. Jahrhundert","time_60800",3
"sec_01","9. Jahrhundert","time_60900",6621
"sec_02","9. Jahrhundert","time_60900",737
"sec_03","9. Jahrhundert","time_60900",163
"sec_04","9. Jahrhundert","time_60900",2098
"sec_05","9. Jahrhundert","time_60900",320
"sec_06","9. Jahrhundert","time_60900",1
"sec_07","9. Jahrhundert","time_60900",44
"sec_01","10. Jahrhundert","time_61000",6797
"sec_02","10. Jahrhundert","time_61000",574
"sec_03","10. Jahrhundert","time_61000",163
"sec_04","10. Jahrhundert","time_61000",2204
"sec_05","10. Jahrhundert","time_61000",443
"sec_07","10. Jahrhundert","time_61000",94
"sec_01","11. Jahrhundert","time_61100",6806
"sec_02","11. Jahrhundert","time_61100",641
"sec_03","11. Jahrhundert","time_61100",173
"sec_04","11. Jahrhundert","time_61100",6775
"sec_05","11. Jahrhundert","time_61100",731
"sec_07","11. Jahrhundert","time_61100",61
"sec_01","1001 bis 1050","time_61105",6705
"sec_02","1001 bis 1050","time_61105",612
"sec_03","1001 bis 1050","time_61105",167
"sec_04","1001 bis 1050","time_61105",4512
"sec_05","1001 bis 1050","time_61105",505
"sec_07","1001 bis 1050","time_61105",32
"sec_01","1051 bis 1100","time_61145",6736
"sec_02","1051 bis 1100","time_61145",619
"sec_03","1051 bis 1100","time_61145",173
"sec_04","1051 bis 1100","time_61145",3437
"sec_05","1051 bis 1100","time_61145",538
"sec_07","1051 bis 1100","time_61145",9
"sec_01","12. Jahrhundert","time_61200",7688
"sec_02","12. Jahrhundert","time_61200",743
"sec_03","12. Jahrhundert","time_61200",197
"sec_04","12. Jahrhundert","time_61200",17795
"sec_05","12. Jahrhundert","time_61200",2019
"sec_06","12. Jahrhundert","time_61200",5
"sec_07","12. Jahrhundert","time_61200",80
"sec_01","1101 bis 1150","time_61205",6915
"sec_02","1101 bis 1150","time_61205",666
"sec_03","1101 bis 1150","time_61205",182
"sec_04","1101 bis 1150","time_61205",10264
"sec_05","1101 bis 1150","time_61205",1189
"sec_06","1101 bis 1150","time_61205",4
"sec_07","1101 bis 1150","time_61205",7
"sec_01","1151 bis 1200","time_61245",7515
"sec_02","1151 bis 1200","time_61245",707
"sec_03","1151 bis 1200","time_61245",191
"sec_04","1151 bis 1200","time_61245",12414
"sec_05","1151 bis 1200","time_61245",1351
"sec_06","1151 bis 1200","time_61245",4
"sec_07","1151 bis 1200","time_61245",13
"sec_01","13. Jahrhundert","time_61300",13572
"sec_02","13. Jahrhundert","time_61300",1020
