current_facet_id,facet_id,c,value
4,4,1148022,Fotos
4,1,348925,Fotografie
4,2,347471,Foto
4,11,345632,Kontaktbogen
4,10,114001,Architektur
4,66,154548,Ortskatalog zur Kunst und Architektur
4,24,14321,Bild
4,63,433,Illustration
4,64,6,Aufsatz
4,72,69777,Politik
4,25,677,Prospekt
4,52,69751,Technik-Katalog
4,15,9879,Skulptur
4,17,60077,Kunst und Kultur
4,155,47585,Gesellschaft
4,51,22045,Druck
4,36,27931,Wohnhaus
4,6,10939,Kunstgewerbe
4,27,9268,Zeichenkunst
4,50,22544,Druckgrafik
4,23,2574,Tafelmalerei
4,132,13395,Malerei
4,28,7806,Zeichnung
4,60,28166,Bildnis
4,3,28289,Szenenbilder
4,179,4,Band
4,192,26174,Bildung und Wissenschaft
4,102,25309,Bildnis-Katalog
4,62,23656,Luftbildschrägaufnahme
4,94,117,Deckenmalerei
4,172,2852,Grabskulptur
4,111,412,Wandmalerei
4,38,19538,Industrie
4,133,18646,Bildnisse
4,16,2323,Statue
4,153,1399,Bauskulptur
4,85,201,Buchmalerei
4,93,161,Deckenbild
4,115,2101,Wirtschaft
4,186,2,Zeitschrift
4,12,1,Recht
4,391,217,Kartenforum
4,146,16254,Handel und Wirtschaft
4,73,1519,Relief
4,239,402,Grabstein
4,46,4317,Portrait
4,145,766,Wandbild
4,184,813,Geschichte
4,320,317,Physik
4,328,12769,Bauwesen
4,319,93,Musik
4,450,9934,Stadt
4,77,11288,Sport
4,126,4362,Kirche
4,635,11438,Mühle
4,568,11,Druckgraphik
4,215,42,Chemie
4,91,10566,Möbel
4,236,3320,Print
4,250,1,Künstlerzeitschrift
4,251,1,Zeitschriften-Beitrag
4,203,36,Text
4,738,1125,Sakralraumskulptur
4,858,514,Handschrift
4,45,7577,Landwirtschaft
4,112,1767,Buchkunst
4,380,8059,Natur
4,1030,34,Karte
4,114,2405,Straße
4,271,7980,Geografie
4,90,7941,Möbeldesign
4,327,4581,Wohn- und Geschäftshaus
4,68,82,Oper
4,386,7024,Verkehrswesen
4,110,120,Bildfeld
4,353,127,Kapitell
4,204,6182,Sonstiges
4,315,1776,Tiere
4,363,56,Mathematik
4,867,5668,Musik-Katalog
4,187,4027,Bauernhof
4,413,2121,Grabmal
4,1277,195,Buch
4,322,3637,Ort
4,1482,82,Deutschland
4,761,2895,Schloss
4,523,5027,Messen
4,424,4793,Künstler
4,283,4782,Gesundheitswesen
4,211,95,Grundriss
4,1175,7,Buchseite
4,605,3975,Militär
4,949,2419,Kirche (evangelisch)
4,116,376,Altarskulptur
4,1368,3471,Photographie
4,84,5,Bildseite
4,377,167,Gemälde
4,622,696,Statuette
4,412,1601,Denkmalskulptur
4,851,5,Lied
4,267,301,Keramik
4,40,3243,Handwerk
4,1283,1170,Varia
4,1027,1615,Denkmal
4,1167,3321,Sonstiges &
4,1540,555,Altar
4,606,112,Plan
4,288,304,Entwurf
4,167,721,Portal
4,238,2519,Porträt
4,417,1003,Kunsthandwerk
4,980,3142,Gesundheit und Soziales
4,437,1385,Rathaus
4,224,55,Miniatur
4,587,460,Kirche (katholisch)
4,296,942,Brunnen
4,575,1608,Ausstellung
4,1046,66,Literatur
4,474,2757,Landkarte
4,2093,1574,Burg
4,372,453,Glasmalerei
4,1377,2661,Ausstellungen
4,287,2669,Landschaft
4,191,51,Urkunde
4,1004,2,Messgerät
4,1039,1752,Kultur
4,455,33,Einblattdruck
4,905,3,Rückseite
4,1565,1705,Villa
4,479,1416,Schule
4,268,511,Gruppe (2-figurig)
4,198,2421,Kommunales
4,583,2413,Weltfestspiele der Jugend und Studenten
4,755,48,Aufriss
4,1909,2368,Landschaften
4,230,2365,Veranstaltungen
4,3133,2,Ansicht
4,476,2360,Arbeiterfotografie
4,421,723,Kunst
4,831,1218,Theater
4,571,422,Büste
4,362,15,Zyklus
4,992,260,Textilkunst
4,3462,153,Sonstige
4,329,513,Platz
4,1566,1,Miniatur (in der Kolumne)
4,1012,88,Deckendekoration
4,311,1867,Freizeit
4,758,56,Portalskulptur
4,700,327,Glasbild
4,1202,3,Theologie
4,194,474,Schriftkunst
4,780,98,Philosophie
4,361,19,Rundplastik
4,1140,1705,Bergbau
4,1173,745,Bauernhaus
4,925,2016,Galerie Neue Meister
4,2022,67,Medizin
4,175,303,Technik
4,932,1953,politische Veranstaltungen
4,452,24,Goldschmiedekunst
4,1672,302,Sitzfigur
4,173,322,Epitaph
4,967,1674,Alltag
4,96,1155,Gasthaus
4,108,477,Brücke
4,649,366,Kapelle
4,55,1504,Schauspiel
4,757,349,Kopf
4,870,40,Wanddekoration
4,854,43,Brief
4,883,3,Buchillustration
4,985,1514,Schloß
4,599,1659,Pressefotografie
4,676,2,Lastkraftwagen
4,8,1619,Stenografie
4,1831,307,Gruppe
4,199,1570,Gemäldegalerie Alte Meister
4,561,199,Kruzifix
4,1219,84,Stadtplan
4,2143,123,Schlussstein
4,221,4,Statistik
4,580,634,Vase
4,2048,1386,Bauwerk
4,1393,138,Schmiedekunst
4,3806,470,Turm
4,379,273,Kanzel
4,718,169,Retabel
4,4359,1427,Aufbau
4,2349,2,Vedute
4,2354,1407,Kulturveranstaltungen
4,871,9,Gewölbebild
4,1601,927,Jugend
4,778,139,Altarbild
4,3183,175,Plastik
4,1961,72,Skizze
4,1901,305,Klosterkirche
4,295,224,Brunnenskulptur
4,37,1340,Tierwelt
4,524,1170,Geometrie
4,2320,1337,City
4,1426,67,Studie
4,1035,61,Freiskulptur
4,1911,286,Schrank
4,92,1294,Wohnzimmermöbel
4,48,221,Figur
4,1261,54,Postkarte
4,2123,922,Dorfkirche
4,657,436,Tierfigur
4,513,456,Kloster
4,651,1230,Porträts
4,1296,29,Initiale
4,123,957,Gebäude
4,181,35,Konsole
4,3966,295,Gefäß
4,814,40,Mosaikkunst
4,294,728,Innenraum
4,1874,112,Grafik
4,598,776,Verwaltungsgebäude
4,1249,1163,Musizierende
4,4972,430,Astronomie
4,246,6,Bagger
4,2381,6,Europa
4,1370,998,Laden
4,1491,430,Museum
4,482,48,Hochaltar
4,910,632,Fabrik
4,896,277,Schale
4,850,349,Stadttor
4,1360,178,Wappen
4,1529,1,Baumaschine
4,1022,1006,Konzert
4,2200,519,Hotel
4,2867,868,Schriftsteller
4,1771,1056,Staatsbibliotheken
4,1777,16,Zeitung
4,569,516,Dorf
4,1412,100,Modellbau
4,373,130,Fenster
4,1036,171,Gruppe (3-figurig)
4,1143,945,Demonstrationen
4,1290,959,Sozialwesen
4,719,1013,Reportagefotografie
4,926,318,Grabplatte
4,5104,611,Gaststätte
4,703,949,Altstadt
4,1635,282,Kanne
4,1875,527,Scheune
4,385,730,Arbeit
4,733,780,Kirchen
4,628,740,Kinder
4,1479,13,vorbereitende Zeichnung
4,968,257,Taufstein
4,936,919,Innenstadt
4,1014,20,Sarkophag
4,357,825,Dresden
4,2463,504,Marktplatz
4,1053,915,Aktfotografie
4,467,909,Akte
4,1621,900,Erster Mai
4,3339,67,Konsolfigur
4,931,879,DDR
4,231,881,Arbeitende
4,2324,645,Waffe
4,435,216,Modell
4,1201,860,Museum für Sächsische Volkskunst mit Puppentheatersammlung
4,1192,183,Palais
4,5933,300,Leuchter
4,44,854,Möbelmessen
4,4303,321,Tor
4,1934,2,Flugschrift
4,7,672,Medaille
4,1567,197,Kartenwerk
4,182,826,Kriegszerstörte Stadt
4,1271,34,Kleinskulptur
4,927,153,Tür
4,1674,332,Krankenhaus
4,454,802,Druckerzeugnis
4,872,256,Krug
4,1450,788,Kriege
4,1493,26,Querschnitt
4,861,158,Gartenskulptur
4,4629,98,Palast
4,1800,33,Inschrift
4,772,19,Profanarchitektur
4,686,34,Reliquiar
4,1397,564,Glasgefäß
4,913,77,Decke
4,678,644,Schlösser
4,765,484,Handel
4,4395,212,Teller
4,562,377,Geldwesen
4,5300,309,Friedhof
4,1987,1,Sakralbau
4,963,35,Geographie
4,1824,1,Militärarchitektur
4,2925,14,Ortsansicht
4,331,225,Münze
4,3017,424,Park
4,1055,734,Festveranstaltungen
4,6962,163,Bibliothek
