"id","name","count"
4,"Fotos",1148022
5,"Kapitel",480195
19,"Spruchkammerakten",452050
1,"Fotografie",374466
2,"Foto",347882
11,"Kontaktbogen",345758
21,"Monografie",266164
9,"Personalakten",252913
20,"Abschnitt",232532
10,"Architektur",220378
66,"Ortskatalog zur Kunst und Architektur",154549
74,"Urkunden",104964
30,"Amtsbücher",104707
14,"Monographie",100141
24,"Bild",85612
63,"Illustration",84038
64,"Aufsatz",81896
72,"Politik",80823
25,"Prospekt",71290
52,"Technik-Katalog",69751
15,"Skulptur",63932
22,"Medizin, Gesundheit",62335
166,"Standfoto",61669
17,"Kunst und Kultur",60077
35,"Krankenakten",57063
155,"Gesellschaft",47925
51,"Druck",46646
82,"Karten und Pläne",46477
36,"Wohnhaus",45227
6,"Kunstgewerbe",43285
27,"Zeichenkunst",40082
50,"Druckgrafik",39687
23,"Tafelmalerei",34685
132,"Malerei",33252
31,"AV-Materialien",31183
28,"Zeichnung",28398
60,"Bildnis",28292
3,"Szenenbilder",28291
179,"Band",28090
192,"Bildung und Wissenschaft",26174
102,"Bildnis-Katalog",25309
62,"Luftbildschrägaufnahme",23656
94,"Deckenmalerei",23535
95,"Freskomalerei",21488
172,"Grabskulptur",21281
178,"Online-Publikation",20580
111,"Wandmalerei",20064
38,"Industrie",19815
133,"Bildnisse",18646
16,"Statue",18589
157,"Nachlässe",18092
153,"Bauskulptur",17934
85,"Buchmalerei",17653
93,"Deckenbild",17224
115,"Wirtschaft",16874
186,"Zeitschrift",16355
12,"Recht",16336
391,"Kartenforum",16314
58,"Nachrichtenmedien, Journalismus, Verlagswesen",16287
146,"Handel und Wirtschaft",16254
262,"Erziehung, Schul- und Bildungswesen",16222
73,"Relief",15957
201,"Zeitschriften, fortlaufende Sammelwerke",15297
235,"Biowissenschaften, Biologie",15258
239,"Grabstein",14875
46,"Portrait",14808
145,"Wandbild",14790
184,"Geschichte",14306
320,"Physik",13223
328,"Bauwesen",13098
319,"Musik",12477
450,"Stadt",12436
77,"Sport",12039
126,"Kirche",12035
635,"Mühle",11877
568,"Druckgraphik",11787
215,"Chemie",11368
67,"Schellackplatte",11130
91,"Möbel",11023
253,"Ingenieurwissenschaften und Maschinenbau",10738
263,"Landwirtschaft, Veterinärmedizin",10146
236,"Print",10085
250,"Künstlerzeitschrift",10030
251,"Zeitschriften-Beitrag",9681
203,"Text",9258
738,"Sakralraumskulptur",8834
858,"Handschrift",8719
45,"Landwirtschaft",8714
112,"Buchkunst",8455
380,"Natur",8222
522,"Informatik",8178
1030,"Karte",8085
114,"Straße",7992
271,"Geografie",7987
90,"Möbeldesign",7941
61,"Enthaltenes Werk",7840
174,"Wohnen",7682
327,"Wohn- und Geschäftshaus",7252
530,"Geschichte Deutschlands",7064
68,"Oper",7053
386,"Verkehrswesen",7032
185,"Quelle",7013
110,"Bildfeld",6880
353,"Kapitell",6872
204,"Sonstiges",6545
323,"Strafprozessakten",6517
188,"Theologie, Christentum",6404
315,"Tiere",6225
401,"liturgischer Text",6036
390,"Topografie",6035
529,"Geografie, Reisen (Deutschland)",6025
363,"Mathematik",5978
415,"Zeichnung / Grafik",5709
867,"Musik-Katalog",5670
187,"Bauernhof",5561
168,"Geowissenschaften",5545
413,"Grabmal",5513
1277,"Buch",5432
322,"Ort",5412
1482,"Deutschland",5395
761,"Schloss",5142
523,"Messen",5071
105,"mehrbändiges Werk",5020
152,"Technische Chemie",5014
424,"Künstler",4923
283,"Gesundheitswesen",4900
211,"Grundriss",4875
18,"Astronomie, Kartographie",4871
170,"Naturwissenschaften",4767
169,"Allgemeines, Wissenschaft",4736
1175,"Buchseite",4574
605,"Militär",4507
1528,"Mathematica",4488
949,"Kirche (evangelisch)",4468
1029,"Verordnung",4422
116,"Altarskulptur",4417
510,"Leichenpredigt",4402
1044,"Literatur, Rhetorik, Literaturwissenschaft",4346
974,"Geschichte Europas",4314
962,"Geografie, Reisen",4213
1368,"Photographie",4167
422,"Auktionskatalog",4076
1673,"Personenkraftwagen",4031
1542,"Soziale Probleme, Sozialdienste, Versicherungen",3839
84,"Bildseite",3837
377,"Gemälde",3785
622,"Statuette",3781
412,"Denkmalskulptur",3729
196,"Handel, Kommunikation, Verkehr",3698
33,"Lyrik",3678
39,"Sozialwissenschaften, Soziologie, Anthropologie",3674
851,"Lied",3649
267,"Keramik",3648
40,"Handwerk",3632
480,"Unterrichtsmittel",3606
98,"book",3552
427,"Management",3543
314,"Pflanzen (Botanik)",3427
34,"Gelegenheitsschrift:Tod",3415
1283,"Varia",3365
1027,"Denkmal",3344
1167,"Sonstiges &",3321
1540,"Altar",3303
606,"Plan",3269
288,"Entwurf",3236
167,"Portal",3196
238,"Porträt",3190
417,"Kunsthandwerk",3188
980,"Gesundheit und Soziales",3142
437,"Rathaus",3106
224,"Miniatur",3091
587,"Kirche (katholisch)",3087
130,"Graphik",3066
312,"Vorderseite",3066
439,"Französische Literatur",3057
296,"Brunnen",3038
575,"Ausstellung",3033
441,"Spanische und portugiesische Literatur",3028
440,"Italienische, rumänische, rätoromanische Literatur",3013
1046,"Literatur",2992
474,"Landkarte",2971
1174,"Künste, Bildende Kunst allgemein",2962
2093,"Burg",2943
956,"Historische Drucke",2905
372,"Glasmalerei",2901
859,"Mehrbändiges Werk",2888
1377,"Ausstellungen",2870
2794,"Haar- und Bartpflege",2837
287,"Landschaft",2832
511,"Psychologie",2808
499,"Industrielle und handwerkliche Fertigung",2806
414,"Realismus",2805
191,"Urkunde",2803
59,"Freizeitgestaltung, Darstellende Kunst",2798
1004,"Messgerät",2767
691,"VD18 digital",2759
1039,"Kultur",2730
264,"Hauswirtschaft und Familienleben",2727
455,"Einblattdruck",2723
905,"Rückseite",2677
1565,"Villa",2676
479,"Schule",2637
1834,"Bayern",2634
586,"Biografie, Genealogie, Heraldik",2629
447,"Fortlaufendes Sammelwerk",2623
268,"Gruppe (2-figurig)",2603
378,"Reliefplastik",2512
151,"Zeichnung / Skizze",2494
198,"Kommunales",2421
583,"Weltfestspiele der Jugend und Studenten",2414
755,"Aufriss",2397
1909,"Landschaften",2389
230,"Veranstaltungen",2385
806,"Zoologica",2363
3133,"Ansicht",2361
476,"Arbeiterfotografie",2360
421,"Kunst",2348
830,"Deutsche Literatur",2290
831,"Theater",2251
571,"Büste",2236
1915,"Skizzenbuchblatt",2231
362,"Zyklus",2222
992,"Textilkunst",2218
3462,"Sonstige",2201
371,"Fliegende Blätter",2191
329,"Platz",2178
1566,"Miniatur (in der Kolumne)",2157
1012,"Deckendekoration",2142
311,"Freizeit",2136
758,"Portalskulptur",2117
700,"Glasbild",2107
1202,"Theologie",2104
194,"Schriftkunst",2085
432,"biblischer Text",2083
780,"Philosophie",2083
361,"Rundplastik",2067
1140,"Bergbau",2067
118,"Brennkraftmotor",2032
1173,"Bauernhaus",2027
585,"Plastik, Numismatik, Keramik, Metallkunst",2019
925,"Galerie Neue Meister",2016
1212,"Bibliotheks- und Informationswissenschaft",2015
1028,"Zivilprozessakten",1997
2022,"Medizin",1980
80,"Alte Geschichte, Archäologie",1962
156,"Dissertation:jur.",1958
1814,"Aufsatzsammlung",1955
175,"Technik",1954
932,"politische Veranstaltungen",1953
452,"Goldschmiedekunst",1923
828,"sonstiger Text",1912
107,"DigiWunschbuch",1900
2063,"Frankreich",1884
1672,"Sitzfigur",1854
173,"Epitaph",1852
967,"Alltag",1834
96,"Gasthaus",1830
1736,"Bildwerke / Bildende Kunst",1813
108,"Brücke",1779
1226,"Deutsch",1770
649,"Kapelle",1752
3537,"Flurförderer mit Hubeinrichtung",1747
55,"Schauspiel",1742
757,"Kopf",1736
870,"Wanddekoration",1726
418,"Arbeiten auf Papier",1721
854,"Brief",1708
883,"Buchillustration",1702
2257,"Bucherhaltung",1673
985,"Schloß",1672
599,"Pressefotografie",1659
676,"Lastkraftwagen",1621
8,"Stenografie",1619
1831,"Gruppe",1591
