"id","value"
1,"Fotografie"
2,"Foto"
3,"Szenenbilder"
4,"Fotos"
5,"Kapitel"
6,"Kunstgewerbe"
7,"Medaille"
8,"Stenografie"
9,"Personalakten"
10,"Architektur"
11,"Kontaktbogen"
12,"Recht"
13,"Krankenhäuser"
14,"Monographie"
15,"Skulptur"
16,"Statue"
17,"Kunst und Kultur"
18,"Astronomie, Kartographie"
19,"Spruchkammerakten"
20,"Abschnitt"
21,"Monografie"
22,"Medizin, Gesundheit"
23,"Tafelmalerei"
24,"Bild"
25,"Prospekt"
26,"Lagereiwesen"
27,"Zeichenkunst"
28,"Zeichnung"
29,"Gottesmutter"
30,"Amtsbücher"
31,"AV-Materialien"
32,"Rhode-Fenner, Eva (1889-1962)"
33,"Lyrik"
34,"Gelegenheitsschrift:Tod"
35,"Krankenakten"
36,"Wohnhaus"
37,"Tierwelt"
38,"Industrie"
39,"Sozialwissenschaften, Soziologie, Anthropologie"
40,"Handwerk"
41,"Kochofen"
42,"Luftsauger"
43,"Zimmerofen"
44,"Möbelmessen"
45,"Landwirtschaft"
46,"Portrait"
47,"Journalist"
48,"Figur"
49,"Adelshof"
50,"Druckgrafik"
51,"Druck"
52,"Technik-Katalog"
53,"Böhmen"
54,"Geschichte 1866"
55,"Schauspiel"
56,"Tibetischer Buddhismus"
57,"Globalisierung"
58,"Nachrichtenmedien, Journalismus, Verlagswesen"
59,"Freizeitgestaltung, Darstellende Kunst"
60,"Bildnis"
61,"Enthaltenes Werk"
62,"Luftbildschrägaufnahme"
63,"Illustration"
64,"Aufsatz"
65,"Reichsgesundheitsamt"
66,"Ortskatalog zur Kunst und Architektur"
67,"Schellackplatte"
68,"Oper"
69,"Steinsetzer"
70,"Erster Weltkrieg"
71,"Westfront"
72,"Politik"
73,"Relief"
74,"Urkunden"
75,"Votivbild"
76,"Wasserversorgung"
77,"Sport"
78,"Epidot"
79,"Lateinische Literatur"
80,"Alte Geschichte, Archäologie"
81,"Homann, Susanne"
82,"Karten und Pläne"
83,"Delisle"
84,"Bildseite"
85,"Buchmalerei"
86,"theologischer Text"
87,"Butterherstellung"
88,"Butterfaß"
89,"Dresden-Hosterwitz"
90,"Möbeldesign"
91,"Möbel"
92,"Wohnzimmermöbel"
93,"Deckenbild"
94,"Deckenmalerei"
95,"Freskomalerei"
96,"Gasthaus"
97,"Brauerei?"
98,"book"
99,"sh2008113365"
100,"Weltkr. 672"
101,"Ys 43982"
102,"Bildnis-Katalog"
103,"City von Casablanca"
104,"Bahnstrecke"
105,"mehrbändiges Werk"
106,"Itineraria"
107,"DigiWunschbuch"
108,"Brücke"
109,"Sofa"
110,"Bildfeld"
111,"Wandmalerei"
112,"Buchkunst"
113,"Einband"
114,"Straße"
115,"Wirtschaft"
116,"Altarskulptur"
117,"Kriegsfolgen"
118,"Brennkraftmotor"
119,"Schlachtvieh; Klassifizierung"
120,"Theaterproben"
121,"Gemeinderechnungen, Beilagen"
122,"Ausgrabung"
123,"Gebäude"
124,"Kapelle; Achatiuskapelle"
125,"Kapelle; Sebastianuskapelle"
126,"Kirche"
