timeId,name,affiliateId,count
1,Domänenkanzlei,131,13944
1,"Stoedtner, Franz (Lichtbildverlag) (Fotograf)",460,11301
1,Preußische Regierung Sigmaringen,326,7595
1,Cotta,301,4701
1,Deutsche Forschungsgemeinschaft,13,3634
1,STB,2075,3500
1,Brockhaus,600,3459
1,"Großherzogliches Justizdepartement, Lehenhof",351,3149
1,Manz,120,2961
1,Reimer,1265,2258
1,Gesamtarchiv der Schenken von Stauffenberg,5311,2192
1,"Schumacher, Klaus-Dieter (Fotograf)",32,2184
1,Ministerium der Auswärtigen Angelegenheiten,6561,1911
1,Hofgericht Oberrheinkreis,2157,1886
1,"Heise, F.",15397,1880
1,"Poenicke, G. A.",15398,1873
1,Tauchnitz,3697,1750
1,Teubner,266,1720
1,"Richter, Regine (Fotograf)",61,1707
1,Metzler,2085,1699
1,Fürstliche Landesregierung Sigmaringen,5025,1599
1,Oberamt/Landratsamt Sigmaringen,1859,1585
1,Wigand,3166,1580
1,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,1522
1,Sauerländer,2727,1520
1,Messbildstelle Dresden (Fotograf),195,1385
1,Gerold,722,1384
1,Didot,1476,1319
1,Perthes,1039,1312
1,Dieterich,5662,1283
1,Kollmann,1255,1230
1,Schleswig-Holsteinische Landesbibliothek,4887,1228
1,Beck,2752,1197
1,Weber,3311,1176
1,Hahn,1045,1172
1,Franckh,3673,1156
1,Seidel,1137,1128
1,Weidmann,7693,1111
1,"Lüttig, Matthias (Fotograf)",56,1105
1,Zentralstelle für Gewerbe und Handel in Stuttgart (1848-1920),2831,1104
1,Lindauer,907,1101
1,Fleischmann,10890,1096
1,Wolf,1291,1088
1,Unbekannter Fotograf (Fotograf),585,1069
1,Bezirksamt Gengenbach,257,1066
1,Bezirksamt Eberbach,3715,1066
1,Zensurkommission,728,1061
1,Hofgericht Seekreis,2245,1058
1,Pustet,5558,1055
1,"Dumas, Alexandre (1802-1870)",820,1045
1,Limpurg-Gaildorfer Erbschenkenarchiv,162,1027
1,Engelmann,10518,1002
1,Karl Weysser,4408,1000
1,Fleischer,3716,994
1,Ministerium des Innern,18123,994
1,Ministerium der auswärtigen Angelegenheiten,221,971
1,Franz,5766,970
1,Oberamt Künzelsau,1487,959
1,Kreis- und Hofgericht Freiburg,1783,926
1,Rieger,427,916
1,"Scott, Walter (1771-1832)",15730,906
1,Müller,914,900
1,Murray,1559,895
1,Vieweg,404,894
1,Stahel,1311,889
1,Arnold,637,885
1,Technoseum,755,860
1,Lentner,5794,830
1,"Goethe, Johann Wolfgang von (1749-1832)",4580,818
1,Wagner,264,793
1,Ministerium des Innern; Adelsmatrikelkommission,2057,793
1,Decker,1768,792
1,Baumgärtner,1235,790
1,"Shakespeare, William (1564-1616)",5255,784
1,Studienfondsverwaltung Rastatt,9900,781
1,Hartleben,572,778
1,Hübschmann,4622,776
1,Museumsberg Flensburg,2832,773
1,Theatergeschichtliche Sammlung und Hebbelsammlung,7527,771
1,Winter,2570,765
1,Enke,3393,765
1,Universitätsmuseum für Kunst und Kulturgeschichte (Marburg),1416,764
1,Breitkopf & Härtel,4513,762
1,"Cicero, Marcus Tullius (v106-v43)",276,758
1,Becker,2182,753
1,Christian Ernst Kollmann,6414,753
1,Rentamt Löwenstein,2142,741
1,Allg. Zeitung,6158,737
1,"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Germany",1266,735
1,Mittler,4058,730
1,Bayern,9819,730
1,Lévy,2242,724
1,Innenministerium,2248,724
1,Verlag A. und R. Adam (Fotograf),1399,723
1,"Cotta, Johann Friedrich von (1764-1832)",6159,718
1,Landgericht Freiburg,5594,717
1,Hoffmann,5946,716
1,"Reinecke, Hans (Fotograf)",11,710
1,Palm,6332,707
1,Württ. Bundestagsgesandtschaft in Frankfurt a. M.,7715,707
2,Preußische Regierung Sigmaringen,326,5212
2,Domänenkanzlei,131,5039
2,"Heise, F.",15397,1880
2,"Poenicke, G. A.",15398,1872
2,Manz,120,1737
2,Brockhaus,600,1690
2,Cotta,301,1390
2,Oberamt/Landratsamt Sigmaringen,1859,1261
2,Tauchnitz,3697,1190
2,Teubner,266,1147
2,STB,2075,1138
2,Deutsche Forschungsgemeinschaft,13,986
2,Wigand,3166,858
