timeId,name,keywordId,count
1,Fotos,4,69008
1,Architektur,10,46309
1,Ortskatalog zur Kunst und Architektur,66,33387
1,Fotografie,1,21363
1,Amtsbücher,30,20110
1,Foto,2,19938
1,Wohnhaus,36,16712
1,Bild,24,15889
1,Monographie,14,14519
1,"Nachrichtenmedien, Journalismus, Verlagswesen",58,13169
1,Technik-Katalog,52,12993
1,Zeitschrift,186,12753
1,Recht,12,12230
1,"Erziehung, Schul- und Bildungswesen",262,11920
1,"Zeitschriften, fortlaufende Sammelwerke",201,10415
1,Band,179,9898
1,Karten und Pläne,82,9236
1,Geschichte,184,8648
1,Personalakten,9,8019
1,Druck,51,7637
1,Politik,72,7317
1,Grabskulptur,172,6696
1,Druckgrafik,50,6679
1,"Medizin, Gesundheit",22,6247
1,Skulptur,15,6163
1,Online-Publikation,178,5719
1,Nachlässe,157,5712
1,Geschichte Deutschlands,530,5698
1,Grabstein,239,5600
1,Zeichenkunst,27,5511
1,Monografie,21,5393
1,"Geografie, Reisen (Deutschland)",529,5293
1,Quelle,185,5069
1,Kartenforum,391,4807
1,Kunstgewerbe,6,4707
1,Tafelmalerei,23,4651
1,"Theologie, Christentum",188,4248
1,Wohnen,174,4175
1,Zeichnung,28,3586
1,"Allgemeines, Wissenschaft",169,3423
1,Naturwissenschaften,170,3226
1,"Geografie, Reisen",962,3154
1,Malerei,132,3111
1,Wohn- und Geschäftshaus,327,3098
1,Geschichte Europas,974,2731
1,Buch,1277,2712
1,Bauernhof,187,2643
1,Wandmalerei,111,2568
1,Mathematica,1528,2458
1,"Freizeitgestaltung, Darstellende Kunst",59,2389
1,"Literatur, Rhetorik, Literaturwissenschaft",1044,2318
1,"Landwirtschaft, Veterinärmedizin",263,2303
1,Hauswirtschaft und Familienleben,264,2188
1,mehrbändiges Werk,105,2135
1,Wandbild,145,2115
1,Zeichnung / Grafik,415,2086
1,"Künste, Bildende Kunst allgemein",1174,2056
1,Druckgraphik,568,2054
1,"Handel, Kommunikation, Verkehr",196,2035
1,Text,203,1914
1,Sonstige,3462,1866
1,Bayern,1834,1805
1,Vorderseite,312,1802
1,"Biografie, Genealogie, Heraldik",586,1630
1,Rückseite,905,1604
1,Wirtschaft,115,1523
1,Topografie,390,1464
