timeId,name,placeId,count
1,Ludwigsburg,1,304315
1,Stuttgart,10,143518
1,Freiburg im Breisgau,17,121642
1,Karlsruhe,9,120361
1,Sigmaringen,5,119745
1,Dresden,2,83793
1,Wertheim,51,59281
1,Neuenstein,43,53928
1,Paris,15,47933
1,Berlin,18,42976
1,Leipzig,8,31578
1,München,48,28425
1,London,161,14802
1,Wien,172,13311
1,Darmstadt,23,10919
1,Göttingen,3,9079
1,Hessen,71,7285
1,kreisfrei,14,6769
1,Nürnberg,54,6721
1,Augsburg,66,6308
1,Hamburg,39,5613
1,Regensburg,67,5031
1,Würzburg,557,4288
1,Bruxelles,130,4068
1,Erlangen,133,3983
1,[S.l.],41,3707
1,Marburg,70,3704
1,"Kassel, Regierungsbezirk",178,3695
1,Milano,162,3329
1,Deutschland,38,3104
1,Braunschweig,4,3045
1,Weimar,37,2880
1,"Marburg-Biedenkopf, Kreis",179,2643
1,S.l.,6,2563
1,Breslau,653,2530
1,Zürich,816,2509
1,Hannover,327,2402
1,Madrid,7,2399
1,DE,389,2364
1,Jena,447,2327
1,Tübingen,618,2322
1,Halle,778,2242
1,Berolinum,55,2211
1,Prag,1062,2146
1,Lipsiae,313,2138
1,Stuttgart S,330,2024
1,Landshut,827,2007
1,Bremen,318,1999
1,Bayern,233,1973
1,Heidelberg,394,1882
1,Gotha,537,1764
1,Firenze,710,1739
1,Bamberg,244,1724
1,Mainz,62,1614
1,Roma,416,1603
1,Amsterdam,480,1461
1,Bonn,699,1432
1,Napoli,3165,1361
1,"[S.l.],",492,1335
1,Sulzbach,497,1316
1,Kassel,608,1312
1,Berolini,2219,1310
1,Frankreich,686,1281
1,Monachii,2181,1281
1,Moskva,2132,1279
1,Frankfurt a. M.,968,1217
1,Kiel,277,1197
1,"Oberbayern, Regierungsbezirk",234,1196
1,Nördlingen,622,1191
1,Stockholm,329,1181
1,Frankfurt am Main,1276,1165
1,Stuttgart [u.a.],962,1141
1,Venezia,555,1135
1,Sigmaringen SIG,368,1118
1,Torino,2233,1117
1,Basel,1086,1087
1,Sanktpeterburg,805,1086
1,Köln,57,1054
1,Ansbach,2575,1051
1,"Darmstadt, Regierungsbezirk",72,1043
1,Passau,676,1040
1,"Frankfurt, M.",332,1025
1,Bonnae,2040,1015
1,[München],88,1009
1,Mitte,160,999
1,Edinburgh,2495,990
1,Mannheim,549,975
1,Bern,294,968
1,Kempten,1717,936
1,Lipsia,42,924
1,Pest,6309,924
1,Gießen,24,894
1,Speyer,3202,892
1,Königsberg,1861,874
1,Heilbronn,610,856
1,Paris [u.a.],661,834
1,Bayreuth,858,832
1,Genève,1364,792
1,Frankfurt (Main),856,786
1,Innsbruck,631,781
2,Ludwigsburg,1,97425
2,Freiburg im Breisgau,17,51308
2,Sigmaringen,5,47453
2,Stuttgart,10,47149
2,Karlsruhe,9,43053
2,Dresden,2,19083
2,Berlin,18,18316
2,Neuenstein,43,16675
2,Wertheim,51,16476
2,Leipzig,8,16161
2,Paris,15,15968
2,München,48,11552
2,Wien,172,6965
2,London,161,5844
2,Darmstadt,23,2907
2,Göttingen,3,2616
2,Regensburg,67,2471
2,Würzburg,557,2198
2,Augsburg,66,2039
2,Bruxelles,130,2002
2,Hamburg,39,1980
2,Nürnberg,54,1959
2,Erlangen,133,1754
2,kreisfrei,14,1489
2,Madrid,7,1310
2,Hessen,71,1307
2,Braunschweig,4,1258
2,Hannover,327,1240
2,Breslau,653,1137
2,Prag,1062,1062
2,Milano,162,1058
2,Bremen,318,1023
2,Zürich,816,985
2,Halle,778,924
2,Firenze,710,881
2,Stuttgart S,330,874
2,[S.l.],41,863
2,Jena,447,862
2,Marburg,70,838
2,Gotha,537,796
2,Moskva,2132,775
2,Pest,6309,761
2,Weimar,37,756
2,Bonn,699,749
2,Bamberg,244,737
2,Tübingen,618,720
2,Nördlingen,622,712
2,Deutschland,38,696
2,Lipsiae,313,691
2,Mainz,62,686
2,Torino,2233,630
2,Landshut,827,622
2,Heidelberg,394,605
2,"Washington, DC",3573,604
2,Sanktpeterburg,805,602
2,Bonnae,2040,601
2,Roma,416,598
2,Stockholm,329,537
2,Amsterdam,480,524
2,Napoli,3165,524
2,Basel,1086,522
2,DE,389,519
2,Dorpat,3685,517
2,Köln,57,485
2,Ansbach,2575,483
2,Monachii,2181,476
2,Lpzg,1937,472
2,Bayern,233,464
2,Kiel,277,449
2,"Kassel, Regierungsbezirk",178,446
2,Frankfurt a. M.,968,436
2,Speyer,3202,433
2,Berolini,2219,431
2,Cassel,636,425
2,Bayreuth,858,404
2,Passau,676,402
2,Schaffhausen,5348,401
2,Bruxelles [u.a.],442,397
2,Bern,294,392
2,Wiesbaden,2440,390
2,"[S.l.],",492,384
2,New York,3486,378
2,Münster,258,374
2,Kjøbenhavn,5298,367
2,Helsingfors,1170,360
2,"Marburg-Biedenkopf, Kreis",179,343
2,"Frankfurt, M.",332,340
2,St. Petersburg,19,328
2,Innsbruck,631,327
2,Mannheim,549,324
2,Sigmaringen SIG,368,320
2,s.l.,970,319
2,Frankreich,686,319
2,Rostock,1386,318
2,Bologna,1087,316
2,Haigerloch BL,90,305
2,Kreuzberg,3318,305
2,"Oberbayern, Regierungsbezirk",234,303
2,"Darmstadt, Regierungsbezirk",72,302
2,Venezia,555,302
3,Ludwigsburg,1,93248
3,Freiburg im Breisgau,17,49524
3,Karlsruhe,9,45795
3,Dresden,2,40748
3,Sigmaringen,5,38049
3,Stuttgart,10,35192
3,Wertheim,51,18449
3,Neuenstein,43,10056
3,Berlin,18,9295
3,Darmstadt,23,4079
3,Hessen,71,3264
3,München,48,2954
3,kreisfrei,14,2296
3,Göttingen,3,2043
3,"Kassel, Regierungsbezirk",178,1723
3,Marburg,70,1547
3,"Marburg-Biedenkopf, Kreis",179,1523
3,Leipzig,8,1366
3,Paris,15,1236
3,DE,389,1107
3,Deutschland,38,1065
3,Braunschweig,4,727
3,Bayern,233,718
3,Hamburg,39,710
3,Weimar,37,564
3,Mitte,160,555
3,Bremen,318,549
3,Frankreich,686,549
3,Heilbronn,610,518
3,"Oberbayern, Regierungsbezirk",234,498
3,Wien,172,469
3,Stuttgart S,330,457
3,Sigmaringen SIG,368,436
3,Charlottenburg,1940,407
3,Kreuzberg,3318,367
3,Gießen,24,345
3,"Darmstadt, Regierungsbezirk",72,323
3,Nordrhein-Westfalen,13,316
3,Île-de-France,1007,308
3,"Paris, Département",1008,306
3,Frankfurt (Main),856,291
3,Dresden - Neustadt (Dresden)&gt;,1099,289
3,Prenzlauer Berg,5635,273
3,Berlin :,164,269
3,London,161,268
3,Balingen BL,1693,260
3,Lichterfelde,4681,258
3,Heidelberg :,47,245
3,Baden-Württemberg,243,238
3,Kassel,608,223
3,unbekannt,3116,223
3,Schöneberg,5097,216
3,Amsterdam,480,215
3,Hechingen BL,1555,210
3,Reutlingen RT,2009,198
3,Limburg-Weilburg,1496,194
3,Leipzig :,281,188
3,Bergstraße,4447,172
3,Kiel,277,172
3,"[S.l.],",492,166
3,Haigerloch BL,90,163
3,Japan,3370,162
3,"Düsseldorf, Regierungsbezirk",949,162
3,"Ebingen, Albstadt BL",777,157
3,Bremerhaven,1014,154
3,Metzingen RT,1689,148
3,"Bremen, Regierungsbezirk",577,147
3,"Gießen, Friedhof (jüdisch)",2421,145
3,Schussenried siehe Bad Schussenried,2558,145
3,Gammertingen SIG,1644,144
3,Straßburg,107,143
3,Ulm UL,1889,137
3,Paris :,4213,137
3,Tübingen TÜ,1029,134
3,Berlin B,1534,134
3,Bad Urach RT,291,133
3,Friedrichshagen,2857,128
3,Friedrichshain,3977,128
3,"Wiesbaden - Schöne Aussicht, Friedhof (jüdisch)",5992,126
3,S.-Peterburg,3169,125
3,"Nordwürttemberg, Regierungsbezirk",242,123
3,Oppurg SOK,1642,122
3,Biberach an der Riß BC,2830,117
3,Bensheim,9371,114
3,Bad Schussenried BC; Heil- und Pflegeanstalt,2557,112
3,Pfalzgrafenweiler FDS,3437,112
3,Alsace,10049,111
3,"Bas-Rhin, Département",10050,111
3,Heilbronn HN,1136,109
3,Zwiefalten RT,2628,108
3,Offenbach,682,107
3,Rheinland-Pfalz,184,107
3,[München],88,105
3,"Rauischholzhausen, Friedhof (jüdisch)",5822,105
3,Köln,57,105
3,Niedersachsen,328,104
3,Münsingen RT,1538,101
3,Hannover,327,101
3,Essen,995,100
3,Ludwigsburg LB,1071,100
4,Dresden,2,646608
4,Ludwigsburg,1,412508
4,Freiburg im Breisgau,17,250607
4,Stuttgart,10,210673
4,Karlsruhe,9,175709
4,Sigmaringen,5,117431
4,Wertheim,51,57988
4,Darmstadt,23,23950
4,Berlin,18,17567
4,Hessen,71,9938
4,Neuenstein,43,7274
4,München,48,6680
4,"Kassel, Regierungsbezirk",178,6565
4,"Marburg-Biedenkopf, Kreis",179,6426
4,Marburg,70,6414
4,kreisfrei,14,5927
4,Deutschland,38,4936
4,Hamburg,39,4491
4,Mannheim,549,3084
4,Konstanz :,266,2985
4,Göttingen,3,2334
4,Heidelberg :,47,2275
4,Köln,57,1954
4,Stuttgart S,330,1883
4,Oberwolfach :,521,1686
4,DE,389,1675
4,Freiburg im Breisgau FR,418,1665
4,Heilbronn,610,1643
4,Braunschweig,4,1518
4,Bremen,318,1485
4,Frankfurt (Main),856,1446
4,"Darmstadt, Regierungsbezirk",72,1431
4,Kaiserslautern,260,1360
4,unbekannt,3116,1322
4,Baden-Württemberg,243,1248
4,München :,255,1198
4,Göttingen :,1989,1020
4,Leipzig,8,1004
4,Nordrhein-Westfalen,13,986
4,Vaduz,4062,985
4,Sigmaringen SIG,368,973
4,Elmshorn,1450,885
4,Bayern,233,863
4,Berlin :,164,823
4,Hechingen BL,1555,819
4,Paris,15,794
4,Stuttgart :,493,794
4,Gammertingen SIG,1644,750
4,Balingen BL,1693,723
4,Weimar,37,715
4,Paderborn,322,714
4,Tübingen TÜ,1029,692
4,Frankreich,686,682
4,Karlsruhe KA,3028,655
4,Mannheim :,1619,643
4,Reutlingen RT,2009,610
4,Ludwigsburg LB,1071,590
4,Mannheim MA,894,584
4,Italien,451,539
4,[S.l.] :,2876,536
4,"Oberbayern, Regierungsbezirk",234,535
4,"Wien,",4157,498
4,Tübingen :,569,475
4,Heilbronn HN,1136,467
4,Landschaften,1482,463
4,Charlottenburg,1940,451
4,"Berlin,",397,448
4,Esslingen am Neckar ES,1144,439
4,Wien :,784,437
4,"Gießen, Friedhof (jüdisch)",2421,420
4,"Düsseldorf, Regierungsbezirk",949,412
4,Heidelberg HD,669,407
4,Konstanz KN,1277,405
4,Mitte,160,402
4,Bremerhaven,1014,401
4,"Paris,",3340,396
4,Berlin B,1534,383
4,Polen,423,373
4,Ravensburg RV,2625,372
4,Düsseldorf,1448,367
4,Kassel,608,365
4,Friedrichshafen FN,10179,363
4,Haigerloch BL,90,352
4,Bergstraße,4447,352
4,Ulm UL,1889,351
4,Niedersachsen,328,346
4,"Bremen, Regierungsbezirk",577,343
4,Zehlendorf,1449,343
4,Weingarten RV; Kloster,1110,337
4,Gießen,24,332
4,London,161,321
4,Lahr/ Schwarzwald,2125,318
4,Limburg-Weilburg,1496,317
4,"Köln, Regierungsbezirk",56,311
4,Weingarten RV; Pädagogische Hochschule,1620,305
4,Wien,172,305
4,USA,1390,305
4,Schwäbisch Gmünd AA,1518,302
4,"Ebingen, Albstadt BL",777,300
4,Göppingen GP,286,298
5,Ludwigsburg,1,75552
5,Karlsruhe,9,38593
5,Freiburg im Breisgau,17,36870
5,Sigmaringen,5,29374
5,Stuttgart,10,27278
5,Dresden,2,18516
5,Wertheim,51,12534
5,Darmstadt,23,4664
5,Neuenstein,43,4618
5,Berlin,18,4137
5,Mannheim,549,2593
5,München,48,2317
5,Hessen,71,1846
5,Hamburg,39,1464
5,DE,389,1010
5,kreisfrei,14,813
5,"Kassel, Regierungsbezirk",178,686
5,Marburg,70,668
5,"Marburg-Biedenkopf, Kreis",179,664
5,Bremen,318,580
5,Braunschweig,4,561
5,Heilbronn,610,552
5,Deutschland,38,476
5,Leipzig,8,473
5,Weimar,37,393
5,Stuttgart S,330,349
5,Sigmaringen SIG,368,343
5,Göttingen,3,280
5,Paris,15,274
5,Hechingen BL,1555,272
5,Charlottenburg,1940,245
5,unbekannt,3116,240
5,Balingen BL,1693,228
5,Gammertingen SIG,1644,216
5,Berlin :,164,204
5,Nordrhein-Westfalen,13,203
5,Bergstraße,4447,202
5,Mitte,160,198
5,Limburg-Weilburg,1496,196
5,Gießen,24,188
5,Reutlingen RT,2009,175
5,München :,255,168
5,Wien,172,167
5,Friedrichshain,3977,153
5,Zehlendorf,1449,152
5,Frankreich,686,139
5,Offenbach,682,138
5,Bensheim,9371,137
5,Lichterfelde,4681,130
5,Heidelberg :,47,128
5,Bayern,233,127
5,Haigerloch BL,90,126
5,Bingen SIG,2871,126
5,Bremerhaven,1014,123
5,Berlin B,1534,123
5,"Ebingen, Albstadt BL",777,123
5,Ludwigsburg LB,1071,116
5,"Darmstadt, Regierungsbezirk",72,115
5,Baden-Württemberg,243,114
5,Friedenau,7730,111
5,Prenzlauer Berg,5635,108
5,Tübingen TÜ,1029,107
5,Frankfurt (Main),856,107
5,Metzingen RT,1689,104
5,Leipzig :,281,103
5,"Düsseldorf, Regierungsbezirk",949,103
5,Zwiefalten RT,2628,101
5,Main-Taunus-Kreis,1038,100
5,"Bremen, Regierungsbezirk",577,97
5,Bad Urach RT,291,96
5,Schöneberg,5097,95
5,Ulm UL,1889,94
5,Bürgerpark,19075,93
5,Burladingen BL,5524,92
5,"Gießen, Friedhof (jüdisch)",2421,89
5,London,161,89
5,Buch,6855,85
5,Biberach an der Riß BC,2830,85
5,Friedrichshafen FN,10179,85
5,Freudenstadt FDS,227,84
5,Ravensburg RV,2625,84
5,Hechingen BL; Reform-Realgymnasium,9831,82
5,Münsingen RT,1538,81
5,Pfalzgrafenweiler FDS,3437,81
5,Heilbronn HN,1136,80
5,Île-de-France,1007,79
5,"Paris, Département",1008,79
5,Lichtenstein RT,5922,77
5,"Tailfingen, Albstadt BL",3993,76
5,Göttingen :,1989,74
5,Ulm UL; Oberamt,8106,74
5,Wangen im Allgäu RV,2626,74
5,Württemberg,639,73
5,"Klosterreichenbach, Baiersbronn FDS; Revier",6297,71
5,Barkhof,7197,71
5,Sigmaringendorf SIG,525,71
5,Rosenfeld BL,4268,71
5,Lahn-Dill-Kreis,673,70
5,Schussenried siehe Bad Schussenried,2558,70
5,"Brüssel, Weltausstellung 1910, Deutsche Abteilung, Halle für Raumkunst und Kunstgewerbe",18225,70
6,Ludwigsburg,1,90585
6,Karlsruhe,9,66741
6,Stuttgart,10,58186
6,Freiburg im Breisgau,17,37673
6,Sigmaringen,5,27964
6,Dresden,2,15462
6,Wertheim,51,12558
6,Berlin,18,7831
6,Darmstadt,23,3578
6,Neuenstein,43,2820
6,München,48,1750
6,Hessen,71,1714
6,kreisfrei,14,1253
6,"Kassel, Regierungsbezirk",178,1188
6,"Marburg-Biedenkopf, Kreis",179,1112
6,Marburg,70,1092
6,Deutschland,38,877
6,Braunschweig,4,676
6,Elmshorn,1450,543
6,Heilbronn,610,499
6,Stuttgart S,330,440
6,DE,389,399
6,Bremen,318,319
6,Leipzig,8,317
6,Göttingen,3,298
6,Hamburg,39,278
6,Sigmaringen SIG,368,273
6,Paris,15,244
6,Mannheim,549,222
6,Weimar,37,217
6,Balingen BL,1693,214
6,Berlin :,164,212
6,Bayern,233,209
6,Hechingen BL,1555,198
6,Nordrhein-Westfalen,13,185
6,"Cambrai, Dép. Nord [F]; Gefechte",2616,184
6,München :,255,177
6,Reutlingen RT,2009,167
6,Berlin B,1534,166
6,Frankreich,686,161
6,Ludwigsburg LB,1071,156
6,Arabische Halbinsel,6442,143
6,"Oberbayern, Regierungsbezirk",234,130
6,Gammertingen SIG,1644,130
6,Syrien,843,129
6,"Gießen, Friedhof (jüdisch)",2421,127
6,Tübingen TÜ,1029,121
6,Baden-Württemberg,243,119
6,Italien,451,111
6,"Ebingen, Albstadt BL",777,111
6,Heilbronn HN,1136,108
6,Bad Urach RT,291,106
6,Haigerloch BL,90,105
6,Kassel,608,104
6,Münsingen RT,1538,103
