timeId,name,affiliateId,count,nameEn
1,Domänenkanzlei,131,13944,Domain Registry
1,"Stoedtner, Franz (Lichtbildverlag) (Fotograf)",460,11301,"Stoedtner, Franz (photo publisher) (Photographer)"
1,Preußische Regierung Sigmaringen,326,7595,Prussian government Sigmaringen
1,Cotta,301,4701,Cotta
1,Deutsche Forschungsgemeinschaft,13,3634,German Research Foundation
1,STB,2075,3500,STB
1,Brockhaus,600,3459,Brockhaus
1,"Großherzogliches Justizdepartement, Lehenhof",351,3149,"Großherzogliches Justizdepartement, Lehenhof"
1,Manz,120,2961,Manz
1,Reimer,1265,2258,Reimer
1,Gesamtarchiv der Schenken von Stauffenberg,5311,2192,Gesamtarchiv cupbearer von Stauffenberg
1,"Schumacher, Klaus-Dieter (Fotograf)",32,2184,"Schumacher, Klaus-Dieter (Photographer)"
1,Ministerium der Auswärtigen Angelegenheiten,6561,1911,Ministry of Foreign Affairs
1,Hofgericht Oberrheinkreis,2157,1886,Hofgericht Upper Rhine district
1,"Heise, F.",15397,1880,"Heise, F."
1,"Poenicke, G. A.",15398,1873,"Poenicke, G. A."
1,Tauchnitz,3697,1750,Tauchnitz
1,Teubner,266,1720,Teubner
1,"Richter, Regine (Fotograf)",61,1707,"Richter, Regine (Photographer)"
1,Metzler,2085,1699,Metzler
1,Fürstliche Landesregierung Sigmaringen,5025,1599,Princely state government Sigmaringen
1,Oberamt/Landratsamt Sigmaringen,1859,1585,Oberamt / Landratsamt Sigmaringen
1,Wigand,3166,1580,Wigand
1,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,1522,General of the bathroom. State Railways Karlsruhe
1,Sauerländer,2727,1520,Sauerland
1,Messbildstelle Dresden (Fotograf),195,1385,MESSBILDSTELLE Dresden (Photographer)
1,Gerold,722,1384,Gerold
1,Didot,1476,1319,Didot
1,Perthes,1039,1312,Perthes
1,Dieterich,5662,1283,Dieterich
1,Kollmann,1255,1230,Kollmann
1,Schleswig-Holsteinische Landesbibliothek,4887,1228,Schleswig-Holstein State Library
1,Beck,2752,1197,Beck
1,Weber,3311,1176,Weaver
1,Hahn,1045,1172,Tap
1,Franckh,3673,1156,Franckh
1,Seidel,1137,1128,Stein
1,Weidmann,7693,1111,Huntsman
1,"Lüttig, Matthias (Fotograf)",56,1105,"Lüttig, Matthias (Photographer)"
1,Zentralstelle für Gewerbe und Handel in Stuttgart (1848-1920),2831,1104,Central Office for Industry and Trade in Stuttgart (1848-1920)
1,Lindauer,907,1101,Lindauer
1,Fleischmann,10890,1096,Fleischmann
1,Wolf,1291,1088,Wolf
1,Unbekannter Fotograf (Fotograf),585,1069,Fotocommunity (Photographer)
1,Bezirksamt Gengenbach,257,1066,Regional office of Gengenbach
1,Bezirksamt Eberbach,3715,1066,Regional office of Eberbach
1,Zensurkommission,728,1061,Censorship Commission
1,Hofgericht Seekreis,2245,1058,Hofgericht Seekreis
1,Pustet,5558,1055,Pustet
1,"Dumas, Alexandre (1802-1870)",820,1045,"Dumas, Alexandre (1802-1870)"
1,Limpurg-Gaildorfer Erbschenkenarchiv,162,1027,Limpurg-Gaildorfer Erbschenkenarchiv
1,Engelmann,10518,1002,Engelmann
1,Karl Weysser,4408,1000,Karl Weysser
1,Fleischer,3716,994,Butcher
1,Ministerium des Innern,18123,994,Ministry of the Interior
1,Ministerium der auswärtigen Angelegenheiten,221,971,Ministry of Foreign Affairs
1,Franz,5766,970,Franz
1,Oberamt Künzelsau,1487,959,Oberamt Künzelsau
1,Kreis- und Hofgericht Freiburg,1783,926,Circular and Hofgericht Freiburg
1,Rieger,427,916,Rieger
1,"Scott, Walter (1771-1832)",15730,906,"Scott, Walter (1771-1832)"
1,Müller,914,900,Miller
1,Murray,1559,895,Murray
1,Vieweg,404,894,Vieweg
1,Stahel,1311,889,Stahel
1,Arnold,637,885,Arnold
1,Technoseum,755,860,Technoseum
1,Lentner,5794,830,Lentner
1,"Goethe, Johann Wolfgang von (1749-1832)",4580,818,"Goethe, Johann Wolfgang von (1749-1832)"
1,Wagner,264,793,Wagner
1,Ministerium des Innern; Adelsmatrikelkommission,2057,793,Ministry of the Interior; Adelsmatrikelkommission
1,Decker,1768,792,Decker
1,Baumgärtner,1235,790,Baumgärtner
1,"Shakespeare, William (1564-1616)",5255,784,"Shakespeare, William (1564-1616)"
1,Studienfondsverwaltung Rastatt,9900,781,Study Fund Management Rastatt
1,Hartleben,572,778,Hartsleben
1,Hübschmann,4622,776,Hübschmann
1,Museumsberg Flensburg,2832,773,Museumsberg Flensburg
1,Theatergeschichtliche Sammlung und Hebbelsammlung,7527,771,Theater History Collection and Hebbel collection
1,Winter,2570,765,Winter
1,Enke,3393,765,Enke
1,Universitätsmuseum für Kunst und Kulturgeschichte (Marburg),1416,764,University Museum of Art and Cultural History (Marburg)
1,Breitkopf & Härtel,4513,762,Breitkopf & Härtel
1,"Cicero, Marcus Tullius (v106-v43)",276,758,"Cicero, Marcus Tullius (V106-v43)"
1,Becker,2182,753,Becker
1,Christian Ernst Kollmann,6414,753,Christian Ernst Kollmann
1,Rentamt Löwenstein,2142,741,Rentamt Lowenstein
1,Allg. Zeitung,6158,737,Generic. Newspaper
1,"Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Germany",1266,735,"Berlin State Library - Prussian Cultural Heritage Foundation, Germany"
1,Mittler,4058,730,Mediator
1,Bayern,9819,730,Bavaria
1,Lévy,2242,724,Lévy
1,Innenministerium,2248,724,Home Office
1,Verlag A. und R. Adam (Fotograf),1399,723,Publisher A. and R. Adam (Photographer)
1,"Cotta, Johann Friedrich von (1764-1832)",6159,718,"Cotta, Johann Friedrich von (1764-1832)"
1,Landgericht Freiburg,5594,717,Landgericht Freiburg
1,Hoffmann,5946,716,Hoffmann
1,"Reinecke, Hans (Fotograf)",11,710,"Reinecke, Hans (Photographer)"
1,Palm,6332,707,Palm
1,Württ. Bundestagsgesandtschaft in Frankfurt a. M.,7715,707,Württ. Bundestag embassy in Frankfurt a. M.
2,Preußische Regierung Sigmaringen,326,5212,Prussian government Sigmaringen
2,Domänenkanzlei,131,5039,Domain Registry
2,"Heise, F.",15397,1880,"Heise, F."
2,"Poenicke, G. A.",15398,1872,"Poenicke, G. A."
2,Manz,120,1737,Manz
2,Brockhaus,600,1690,Brockhaus
2,Cotta,301,1390,Cotta
2,Oberamt/Landratsamt Sigmaringen,1859,1261,Oberamt / Landratsamt Sigmaringen
2,Tauchnitz,3697,1190,Tauchnitz
2,Teubner,266,1147,Teubner
2,STB,2075,1138,STB
2,Deutsche Forschungsgemeinschaft,13,986,German Research Foundation
2,Wigand,3166,858,Wigand
2,Ministerium der Auswärtigen Angelegenheiten,6561,848,Ministry of Foreign Affairs
2,Gerold,722,763,Gerold
2,Reimer,1265,746,Reimer
2,"Großherzogliches Justizdepartement, Lehenhof",351,725,"Großherzogliches Justizdepartement, Lehenhof"
2,Hofgericht Oberrheinkreis,2157,716,Hofgericht Upper Rhine district
2,Lévy,2242,672,Lévy
2,Christian Ernst Kollmann,6414,672,Christian Ernst Kollmann
2,Kreis- und Hofgericht Freiburg,1783,649,Circular and Hofgericht Freiburg
2,Schleswig-Holsteinische Landesbibliothek,4887,646,Schleswig-Holstein State Library
2,Oberamt Künzelsau,1487,632,Oberamt Künzelsau
2,Beck,2752,631,Beck
2,Pustet,5558,621,Pustet
2,Zentralstelle für Gewerbe und Handel in Stuttgart (1848-1920),2831,619,Central Office for Industry and Trade in Stuttgart (1848-1920)
2,Stahel,1311,619,Stahel
2,Janke,6685,600,Janke
2,Generaldirektion der Bad. Staatseisenbahnen Karlsruhe,1514,596,General of the bathroom. State Railways Karlsruhe
2,"Dumas, Alexandre (1802-1870)",820,595,"Dumas, Alexandre (1802-1870)"
2,Braumüller,5478,587,Braumüller
2,Engelmann,10518,577,Engelmann
2,Perthes,1039,574,Perthes
2,Leopold Adler,7885,571,Leopold Adler
2,Enke,3393,562,Enke
2,Hofgericht Seekreis,2245,553,Hofgericht Seekreis
2,Kollmann,1255,532,Kollmann
2,"Richter, Regine (Fotograf)",61,518,"Richter, Regine (Photographer)"
2,Ministerium des Innern,18123,517,Ministry of the Interior
2,Hachette,911,512,Hachette
2,Weidmann,7693,495,Huntsman
2,Gesamtarchiv der Schenken von Stauffenberg,5311,493,Gesamtarchiv cupbearer von Stauffenberg
2,Otto Janke,331,489,Otto Janke
2,Vieweg,404,489,Vieweg
2,US Gov. Print. Off.,8759,483,US Gov. Print. Off.
2,Hartleben,572,479,Hartsleben
2,Wolf,1291,472,Wolf
2,Preußische Regierung,3469,465,Prussian government
2,Ministerium des Innern; Adelsmatrikelkommission,2057,465,Ministry of the Interior; Adelsmatrikelkommission
2,Franz,5766,462,Franz
2,Verlags-Comptoir,14228,454,Publisher's Comptoir
2,Weber,3311,453,Weaver
2,Winter,2570,446,Winter
2,Hirzel,3644,442,Hirzel
2,Dieterich,5662,436,Dieterich
2,Metzler,2085,434,Metzler
2,Württ. Bundestagsgesandtschaft in Frankfurt a. M.,7715,432,Württ. Bundestag embassy in Frankfurt a. M.
2,Decker,1768,430,Decker
2,Karl Weysser,4408,420,Karl Weysser
2,Bezirksamt Gengenbach,257,409,Regional office of Gengenbach
2,Herder,7126,408,Herder
2,Bezirksamt Eberbach,3715,405,Regional office of Eberbach
2,Ministerium der auswärtigen Angelegenheiten,221,402,Ministry of Foreign Affairs
2,Kreis- und Hofgericht Konstanz,36045,402,Circular and Hofgericht Konstanz
2,Rieger,427,398,Rieger
2,Soc.,11842,393,Soc.
2,Breitkopf und Härtel,1086,392,Breitkopf & Hartel
2,Springer,5788,385,Jumper
2,Rümpler,17224,378,Rümpler
2,Weigel,2244,373,Weigel
2,Mittler,4058,373,Mediator
2,Messbildstelle Dresden (Fotograf),195,364,MESSBILDSTELLE Dresden (Photographer)
2,Sauerländer,2727,363,Sauerland
2,"Schumacher, Klaus-Dieter (Fotograf)",32,345,"Schumacher, Klaus-Dieter (Photographer)"
2,Costenoble,11705,342,Costenoble
2,"Goethe, Johann Wolfgang von (1749-1832)",4580,340,"Goethe, Johann Wolfgang von (1749-1832)"
2,Hirschwald,9420,338,Hirschwald
2,Hurter,9614,336,Hurter
2,Krabbe,4022,332,Crab
2,Schmid,7459,329,Schmid
2,"Beethoven, Ludwig van (1770-1827)",1087,322,"Beethoven, Ludwig van (1770-1827)"
2,Franckh,3673,321,Franckh
2,Didot,1476,321,Didot
2,Allg. Zeitung,6158,318,Generic. Newspaper
2,"Cotta, Johann Friedrich von (1764-1832)",6159,318,"Cotta, Johann Friedrich von (1764-1832)"
2,Migne,18953,317,Migne
2,"Migne, Jacques Paul (1800-1875)",18955,317,"Migne, Jacques Paul (1800-1875)"
2,Laupp,4878,314,Laupp
2,Wagner,264,313,Wagner
2,Oskar Netoliczka,1727,308,Oskar Netoliczka
2,Dentu,9148,308,Dentu
2,Günther,9837,306,Günther
2,Fleischmann,10890,303,Fleischmann
2,Hoffmann,5946,301,Hoffmann
