timeId,name,keywordId,count,nameEn
1,Fotos,4,69008,Photos
1,Architektur,10,46309,Architecture
1,Ortskatalog zur Kunst und Architektur,66,33387,Town List for Art and Architecture
1,Fotografie,1,21363,Photography
1,Amtsbücher,30,20110,Office Books
1,Foto,2,19938,Photo
1,Wohnhaus,36,16712,Residential building
1,Bild,24,15889,image
1,Monographie,14,14519,Monograph
1,"Nachrichtenmedien, Journalismus, Verlagswesen",58,13169,"News media, journalism, publishing"
1,Technik-Katalog,52,12993,Art catalog
1,Zeitschrift,186,12753,Magazine
1,Recht,12,12230,Right
1,"Erziehung, Schul- und Bildungswesen",262,11920,"Education, school and education"
1,"Zeitschriften, fortlaufende Sammelwerke",201,10415,"Magazines, serials works"
1,Band,179,9898,Tape
1,Karten und Pläne,82,9236,Maps and plans
1,Geschichte,184,8648,story
1,Personalakten,9,8019,Personnel files
1,Druck,51,7637,pressure
1,Politik,72,7317,politics
1,Grabskulptur,172,6696,Grave sculpture
1,Druckgrafik,50,6679,Printmaking
1,"Medizin, Gesundheit",22,6247,"Medicine, Health"
1,Skulptur,15,6163,Sculpture
1,Online-Publikation,178,5719,Online publication
1,Nachlässe,157,5712,Discounts
1,Geschichte Deutschlands,530,5698,History of Germany
1,Grabstein,239,5600,Grave stone
1,Zeichenkunst,27,5511,Draughtsmanship
1,Monografie,21,5393,Monograph
1,"Geografie, Reisen (Deutschland)",529,5293,"Geography, Travel (Germany)"
1,Quelle,185,5069,Source
1,Kartenforum,391,4807,Cards Forum
1,Kunstgewerbe,6,4707,Arts and Crafts
1,Tafelmalerei,23,4651,Tafelmalerei
1,"Theologie, Christentum",188,4248,"Theology, Christianity"
1,Wohnen,174,4175,Habitation
1,Zeichnung,28,3586,Drawing
1,"Allgemeines, Wissenschaft",169,3423,"General, Science"
1,Naturwissenschaften,170,3226,Natural sciences
1,"Geografie, Reisen",962,3154,Geography and travel
1,Malerei,132,3111,Painting
1,Wohn- und Geschäftshaus,327,3098,Residential and commercial building
1,Geschichte Europas,974,2731,History of Europe
1,Buch,1277,2712,Book
1,Bauernhof,187,2643,Farm
1,Wandmalerei,111,2568,Mural
1,Mathematica,1528,2458,Mathematica
1,"Freizeitgestaltung, Darstellende Kunst",59,2389,"Recreational activity, Performing Arts"
1,"Literatur, Rhetorik, Literaturwissenschaft",1044,2318,"Literature, rhetoric, literary studies"
1,"Landwirtschaft, Veterinärmedizin",263,2303,"Agriculture, Veterinary Medicine"
1,Hauswirtschaft und Familienleben,264,2188,Housekeeping and family life
1,mehrbändiges Werk,105,2135,multi-volume work
1,Wandbild,145,2115,Mural
1,Zeichnung / Grafik,415,2086,Drawing / Graphics
1,"Künste, Bildende Kunst allgemein",1174,2056,The arts in general
1,Druckgraphik,568,2054,Printmaking
1,"Handel, Kommunikation, Verkehr",196,2035,"Trade, communications, transport"
1,Text,203,1914,Text
1,Sonstige,3462,1866,Other
1,Bayern,1834,1805,Bavaria
1,Vorderseite,312,1802,front page
1,"Biografie, Genealogie, Heraldik",586,1630,"Biography, Genealogy, Heraldry"
1,Rückseite,905,1604,Rear
1,Wirtschaft,115,1523,economy
1,Topografie,390,1464,Topography
1,Geowissenschaften,168,1447,Earth sciences
1,Bericht,2640,1446,Report
1,Deutschland,1482,1444,Germany
1,"Alte Geschichte, Archäologie",80,1433,History of ancient world
1,"Soziale Probleme, Sozialdienste, Versicherungen",1542,1337,"Social problems, social services, insurance"
1,Villa,1565,1332,Villa
1,Print,236,1325,Print
1,Krankenakten,35,1310,Medical Records
1,Literatur in anderen Sprachen,1470,1270,Literature in other languages
1,Graphik,130,1257,Graphic arts
1,Technische Chemie,152,1249,Industrial Chemistry
1,Chemie,215,1190,Chemistry
1,Vorlesungsverzeichnis,1414,1183,Lecture Schedule
1,Kirche,126,1175,Church
1,Freskomalerei,95,1169,Fresco
1,Mehrbändiges Werk,859,1135,Multivolume Work
1,Technik,175,1134,Technology
1,Deckenmalerei,94,1126,Deckenmalerei
1,Bibliotheks- und Informationswissenschaft,1212,1107,Library and Information Science
1,Ansicht,3133,1089,View
1,Zivilprozessakten,1028,1083,Civil Procedure file
1,Vedute,2349,1043,Vedute
1,Plan,606,1029,Plan
1,Zoologica,806,1029,Zoologica
1,Musik,319,1019,Music
