timeId,name,placeId,count,nameEn
1,Ludwigsburg,1,304315,Ludwigsburg
1,Stuttgart,10,143518,Stuttgart
1,Freiburg im Breisgau,17,121642,Freiburg in Breisgau
1,Karlsruhe,9,120361,Karlsruhe
1,Sigmaringen,5,119745,Sigmaringen
1,Dresden,2,83793,Dresden
1,Wertheim,51,59281,Wertheim
1,Neuenstein,43,53928,Neuenstein
1,Paris,15,47933,Paris
1,Berlin,18,42976,Berlin
1,Leipzig,8,31578,Leipzig
1,München,48,28425,Munich
1,London,161,14802,London
1,Wien,172,13311,Vienna
1,Darmstadt,23,10919,Darmstadt
1,Göttingen,3,9079,Göttingen
1,Hessen,71,7285,Hesse
1,kreisfrei,14,6769,county
1,Nürnberg,54,6721,Nuremberg
1,Augsburg,66,6308,Augsburg
1,Hamburg,39,5613,Hamburg
1,Regensburg,67,5031,Regensburg
1,Würzburg,557,4288,Würzburg
1,Bruxelles,130,4068,Bruxelles
1,Erlangen,133,3983,Gain
1,[S.l.],41,3707,[S.L.]
1,Marburg,70,3704,Marburg
1,"Kassel, Regierungsbezirk",178,3695,"Kassel, Region of"
1,Milano,162,3329,Milano
1,Deutschland,38,3104,Germany
1,Braunschweig,4,3045,Brunswick
1,Weimar,37,2880,Weimar
1,"Marburg-Biedenkopf, Kreis",179,2643,"Marburg-Biedenkopf, district"
1,S.l.,6,2563,S.L.
1,Breslau,653,2530,Breslau
1,Zürich,816,2509,Zurich
1,Hannover,327,2402,Hanover
1,Madrid,7,2399,Madrid
1,DE,389,2364,DE
1,Jena,447,2327,Jena
1,Tübingen,618,2322,Tübingen
1,Halle,778,2242,Hall
1,Berolinum,55,2211,Berolinum
1,Prag,1062,2146,Prague
1,Lipsiae,313,2138,Lipsiae
1,Stuttgart S,330,2024,Stuttgart S
1,Landshut,827,2007,Landshut
1,Bremen,318,1999,Bremen
1,Bayern,233,1973,Bavaria
1,Heidelberg,394,1882,Heidelberg
1,Gotha,537,1764,Gotha
1,Firenze,710,1739,Firenze
1,Bamberg,244,1724,Bamberg
1,Mainz,62,1614,Mainz
1,Roma,416,1603,Romany
1,Amsterdam,480,1461,Amsterdam
1,Bonn,699,1432,Bonn
1,Napoli,3165,1361,Napoli
